"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.1, N.1, P.4, 2018)","73","16","36","12","9","9","16","25","32","33","32","33","16","14","14","9","9","9","11","15","6","7","8","8","6","19","1","13","6","2","4","6","4","7","5","10","6","10","6","9","13","18","14","7","16","9","10","9","5","0","2","0","8","20","14","10","16","11","18","15","11","9","11","16","18","9","13","9","4","12","12","12","8","5","8","5","1","3","3","1","0","0"
"(V.1, N.2, P.1, 2018)","116","16","7","8","7","12","10","23","19","10","13","25","23","6","12","12","14","34","14","10","8","6","2","5","9","9","5","5","32","6","5","1","0","1","0","6","3","1","5","27","4","7","9","3","1","5","1","7","4","14","12","4","5","6","7","7","2","6","2","1","1","3","1","2","6","2","2","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(V.1, N.2, P.2, 2018)","66","11","6","11","5","7","22","14","17","13","11","24","8","4","6","0","4","4","16","9","2","4","3","0","0","3","1","2","3","3","1","1","0","2","3","1","2","0","2","3","3","3","4","3","3","2","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","4","2","2","1","0","0","1","1","0","0","1","0","1","1","0","0","0","0"
"(V.1, N.2, P.4, 2018)","211","31","32","53","17","13","30","38","38","30","31","59","38","67","40","54","44","33","8","14","6","19","21","16","15","23","16","25","17","11","3","15","8","11","14","20","8","20","23","23","31","18","36","12","23","14","22","11","6","4","7","18","17","30","10","18","13","10","16","6","12","9","17","20","13","9","4","8","4","13","5","8","2","5","5","2","0","0","0","0","0","0"
"(V.1, N.2, P.5, 2018)","114","30","29","35","32","61","61","95","77","58","48","46","53","51","80","63","46","27","18","26","9","7","8","5","13","25","16","35","25","12","7","23","26","14","10","16","44","40","41","49","29","43","42","37","40","22","22","28","2","1","11","40","19","48","54","48","51","19","10","37","39","30","18","21","18","15","28","37","18","26","9","17","10","14","25","22","16","13","9","3","0","0"
"(V.1, N.2, P.6, 2018)","188","16","21","16","13","14","19","27","44","26","21","37","20","16","22","9","4","4","15","7","2","4","0","6","14","10","2","4","2","1","1","3","6","2","0","0","1","2","4","4","2","9","5","6","10","2","2","3","7","7","7","1","0","3","2","6","2","1","1","0","1","2","0","1","6","3","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0"
"(V.1, N.3, P.3, 2018)","1791","16","42","20","15","26","46","56","71","47","29","56","31","30","41","23","13","7","7","8","3","3","0","0","15","22","1","8","2","7","0","2","2","4","2","6","5","12","1","5","9","6","10","0","3","2","0","24","4","3","2","0","1","2","12","6","6","3","2","0","0","1","0","0","3","0","0","5","6","6","0","0","0","1","0","0","1","0","1","2","0","0"
"(V.1, N.3, P.6, 2018)","146","45","20","22","21","15","23","33","71","61","47","61","42","45","43","21","24","21","11","11","3","6","11","29","52","55","21","15","8","3","1","0","2","2","9","16","6","9","4","3","0","3","4","1","4","1","0","1","1","1","0","1","0","1","3","1","2","1","0","1","0","1","0","0","5","1","0","2","2","2","1","1","1","0","0","0","0","1","0","0","0","0"
"(V.1, N.3, P.7, 2018)","82","4","4","3","1","3","4","3","6","12","37","19","7","7","2","2","0","4","5","3","0","2","1","0","6","2","6","0","1","1","0","2","0","4","1","2","5","1","16","3","3","3","3","3","7","3","2","1","1","3","2","3","1","3","2","1","0","4","1","4","4","0","0","0","2","0","0","1","0","0","0","1","3","0","2","0","0","3","0","1","0","0"
"(V.1, N.3, P.9, 2018)","104","13","46","37","20","137","75","76","46","61","44","70","49","34","44","76","79","53","18","16","15","22","21","16","91","112","100","141","96","62","80","145","138","118","67","76","102","139","265","178","84","193","207","157","157","99","50","76","43","113","121","91","76","145","161","127","115","50","33","52","92","85","61","35","23","67","63","112","38","22","15","5","17","15","7","7","4","2","2","3","0","0"
"(V.1, N.3, P.10, 2018)","95","6","16","35","55","35","36","41","31","39","106","72","20","25","20","17","17","17","10","15","3","6","16","25","44","57","31","15","8","0","4","0","2","4","1","3","4","3","2","7","2","7","7","9","1","1","2","0","6","4","7","1","3","8","17","11","12","2","7","5","1","3","7","4","0","2","0","2","0","0","0","1","0","0","0","2","0","0","0","1","0","0"
"(V.1, N.4, P.3, 2018)","52","4","7","0","17","6","20","18","11","5","7","16","5","34","0","2","0","4","3","10","2","1","0","10","1","4","3","9","5","2","1","3","2","2","7","2","2","5","1","7","13","3","4","5","2","0","1","7","0","0","0","2","0","1","4","0","0","1","1","3","3","1","3","0","3","0","0","1","2","2","0","0","0","0","2","0","0","2","0","1","0","0"
"(V.1, N.4, P.6, 2018)","126","20","9","12","13","13","15","15","70","14","21","40","11","10","6","11","2","17","5","4","3","5","4","3","12","5","6","2","5","2","0","23","1","2","3","8","6","8","3","6","7","12","12","6","14","3","3","9","4","4","3","4","6","3","2","2","2","3","1","1","1","4","2","0","6","0","2","4","1","1","0","2","1","1","0","1","1","1","0","0","0","0"
"(V.1, N.4, P.8, 2018)","63","14","9","6","7","12","21","77","67","67","63","73","54","55","38","33","25","34","10","12","8","1","7","59","37","45","23","20","15","4","2","27","27","49","58","30","32","22","27","16","10","22","14","14","17","17","26","22","8","22","18","6","6","11","9","11","16","6","14","10","8","6","13","0","10","10","8","12","1","1","6","5","4","3","4","6","0","3","1","0","0","0"
"(V.1, N.5, P.2, 2018)","98","44","40","72","81","83","105","111","101","84","84","76","86","83","93","70","73","94","14","42","16","54","53","59","133","144","78","111","67","41","57","119","76","54","43","35","95","84","57","55","70","69","71","71","66","66","46","48","8","20","31","34","16","33","33","25","30","14","20","5","5","13","26","13","7","13","8","3","11","6","12","11","7","5","5","5","6","13","1","1","0","0"
"(V.1, N.5, P.4, 2018)","136","54","26","29","46","39","27","51","36","24","23","28","10","27","29","12","8","15","8","19","3","11","12","13","20","36","8","15","2","4","6","5","7","7","8","3","11","7","6","4","2","6","3","3","4","4","6","4","4","7","6","4","4","4","10","11","5","0","1","1","0","2","3","7","2","7","6","3","8","3","2","9","10","7","5","5","7","2","12","1","0","0"
"(V.1, N.5, P.7, 2018)","105","24","16","15","13","18","16","28","21","15","27","28","22","14","16","7","0","0","0","2","1","3","0","2","0","0","0","0","0","1","1","1","1","1","1","0","0","3","0","2","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.1, N.5, P.10, 2018)","89","20","64","17","9","11","11","20","24","11","12","23","17","13","17","13","10","13","11","15","1","8","7","3","4","5","6","2","1","1","2","6","2","0","1","2","2","2","2","2","0","0","2","5","0","2","2","0","5","0","0","1","1","0","0","1","2","0","2","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"(V.1, N.6, P.1, 2018)","56","12","18","21","17","20","28","48","49","25","18","40","21","28","45","24","10","23","10","15","6","2","3","7","4","6","2","10","11","20","3","10","0","1","6","10","1","4","4","28","2","8","5","4","3","3","0","0","3","3","6","3","0","1","4","0","1","1","1","5","0","1","3","1","3","1","1","1","2","1","0","0","2","1","1","0","0","2","0","0","0","0"
"(V.1, N.6, P.3, 2018)","156","30","22","29","37","49","48","65","75","33","38","58","133","66","36","13","7","17","6","9","2","7","5","14","12","17","0","4","1","2","0","1","2","1","2","3","1","3","4","5","3","4","5","4","2","2","2","7","4","1","4","2","6","1","16","5","36","3","2","56","11","50","10","20","3","15","0","5","0","0","4","7","2","2","2","0","0","0","0","0","0","0"
"(V.1, N.6, P.4, 2018)","147","29","27","39","29","46","38","83","85","56","54","49","42","53","43","31","27","13","9","23","5","28","31","39","24","50","7","14","7","6","2","6","6","3","7","5","7","1","3","1","3","4","3","3","1","6","8","5","2","10","4","2","10","6","4","2","11","3","0","3","6","10","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"(V.2, N.1, P.2, 2019)","56","33","23","28","19","23","34","76","106","36","24","68","54","31","47","24","25","60","10","11","5","10","20","30","69","56","13","22","6","8","7","4","5","5","10","14","14","7","24","7","5","12","11","12","13","4","12","27","25","20","23","5","8","23","21","20","13","3","8","17","8","4","6","1","2","9","1","9","7","3","2","7","18","1","3","6","3","7","6","2","0","0"
"(V.2, N.1, P.3, 2019)","87","18","15","7","19","5","4","25","22","29","24","26","21","30","20","23","4","8","6","3","2","2","5","1","7","4","6","27","6","2","2","5","3","3","1","0","1","1","2","5","3","8","10","3","4","0","1","2","0","9","7","4","1","2","1","1","6","3","1","0","0","1","0","0","7","1","1","0","0","0","0","0","0","2","1","0","1","0","0","5","0","0"
"(V.2, N.1, P.4, 2019)","74","20","22","25","18","19","21","19","31","23","19","26","23","30","58","48","53","52","18","33","3","6","23","24","75","90","64","67","31","27","14","25","43","34","47","20","28","25","25","25","22","71","60","25","32","19","6","12","11","18","19","14","10","79","22","10","3","14","8","8","3","7","6","6","10","18","16","7","8","1","3","5","6","9","0","2","3","14","6","2","0","0"
"(V.2, N.3, P.1, 2019)","31","16","15","10","2","12","27","79","73","63","29","31","28","35","31","16","19","17","13","10","1","1","2","5","16","21","5","7","0","2","0","0","4","0","2","10","9","8","9","8","4","5","6","10","7","4","6","12","2","5","3","12","4","3","6","2","6","2","4","4","3","6","8","5","5","7","12","11","4","3","4","6","5","3","1","2","0","1","0","2","0","0"
"(V.2, N.3, P.2, 2019)","29","17","28","10","7","6","10","22","25","16","18","35","11","14","16","13","10","8","6","6","3","0","6","9","23","11","16","1","10","1","2","3","0","2","0","2","4","0","0","4","1","5","4","1","0","3","0","1","3","1","4","0","4","0","1","0","1","2","1","1","1","1","0","1","1","0","1","5","0","1","0","0","0","1","0","0","4","2","0","0","0","0"
"(V.2, N.3, P.3, 2019)","30","22","16","13","6","9","18","39","38","43","26","32","39","20","18","3","6","10","3","3","1","1","2","4","6","3","0","1","1","0","0","2","1","0","0","0","2","1","0","0","0","0","1","2","3","0","1","0","0","1","0","0","0","0","3","2","0","0","3","2","0","0","0","1","2","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0"
"(V.2, N.3, P.4, 2019)","325","92","37","11","5","7","6","4","18","8","14","18","8","5","7","9","139","21","11","12","12","14","9","16","41","35","6","20","6","6","7","8","6","7","5","7","10","2","9","8","5","9","10","8","18","4","4","2","1","10","12","9","6","6","28","17","6","9","7","5","11","12","8","9","11","8","14","5","5","2","5","3","3","5","8","3","3","6","7","4","0","0"
"(V.2, N.4, P.1, 2019)","0","0","34","28","29","38","94","115","112","92","65","75","68","97","144","117","131","133","14","25","20","95","58","67","52","68","34","57","25","17","21","23","27","26","0","31","21","29","21","30","14","24","17","43","23","0","37","35","9","18","20","36","20","18","14","34","20","22","11","11","6","7","9","22","17","14","28","25","11","15","12","21","5","4","3","0","3","7","1","0","0","0"
"(V.2, N.4, P.4, 2019)","0","0","198","203","93","208","366","384","482","234","151","250","308","275","375","2220","3232","2708","254","344","787","1477","745","1377","3338","4061","2206","2754","1400","1471","1877","1665","2489","912","294","809","1578","1635","1941","1662","891","1574","2123","1623","1851","686","244","347","120","992","1743","1240","426","683","872","890","887","306","86","389","545","668","586","490","339","645","511","457","383","104","54","150","311","344","246","205","171","257","366","166","0","0"
"(V.2, N.4, P.5, 2019)","0","0","56","114","211","250","331","415","408","385","419","386","380","390","418","1355","1812","1633","148","215","348","1045","1064","1305","1577","1594","1027","1405","946","626","694","1011","762","660","843","669","792","645","806","837","729","933","957","979","931","876","962","983","451","1099","1033","1067","936","921","1069","879","888","534","647","600","674","578","557","470","686","677","423","366","320","286","300","274","285","199","218","208","200","215","153","106","0","0"
"(V.2, N.5, P.1, 2019)","0","0","0","7","7","5","10","21","10","10","8","26","16","6","4","3","1","10","4","4","1","2","1","4","1","1","0","2","2","0","0","0","1","0","0","0","0","0","13","0","1","0","1","0","0","0","2","0","0","1","1","3","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.5, P.5, 2019)","0","0","0","56","16","28","24","89","57","52","38","69","64","76","78","83","82","106","25","44","41","132","137","296","513","553","358","325","174","120","233","157","152","74","44","100","157","144","136","242","126","231","231","143","105","75","32","150","127","142","170","94","44","100","155","124","99","47","35","57","141","103","63","36","35","32","49","56","36","13","16","23","36","26","27","9","8","11","8","6","0","0"
"(V.2, N.6, P.3, 2019)","0","0","0","0","7","6","10","11","21","16","23","26","5","19","16","10","16","23","5","9","4","10","12","15","24","18","9","7","21","1","1","2","12","5","6","5","3","7","16","7","10","6","7","10","9","5","4","4","0","13","7","9","7","11","7","6","11","1","7","7","3","2","3","3","1","4","3","2","0","2","3","1","0","1","1","0","2","0","2","0","0","0"
"(V.2, N.6, P.5, 2019)","0","0","0","0","26","10","16","11","5","12","2","14","7","10","16","4","1","3","4","7","2","5","4","2","3","7","5","3","3","1","2","10","19","1","0","5","0","1","1","1","2","4","7","5","1","3","1","3","10","2","3","6","2","5","3","5","1","1","0","2","0","0","0","1","1","1","0","6","4","0","1","0","0","1","0","0","0","0","5","0","0","0"
"(V.2, N.7, P.2, 2019)","0","0","0","0","0","16","4","9","13","11","15","27","12","5","21","7","3","7","1","34","5","1","1","1","3","3","0","4","11","1","0","0","2","0","1","3","1","0","0","3","2","4","4","0","0","0","0","4","0","0","0","3","1","0","0","1","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(V.2, N.7, P.3, 2019)","0","0","0","0","0","57","84","79","63","60","28","33","21","34","24","28","40","37","15","15","10","64","60","41","46","73","39","43","23","9","5","3","11","14","12","20","37","51","15","7","7","6","7","7","3","8","6","6","11","8","13","18","3","8","8","4","6","4","5","4","14","11","5","3","7","1","2","3","2","0","2","2","6","3","2","1","0","2","4","0","0","0"
"(V.2, N.8, P.1, 2019)","0","0","0","0","0","0","13","14","15","6","7","12","6","3","8","9","6","3","6","6","3","1","0","2","4","5","4","13","5","2","2","3","2","3","5","1","9","5","3","6","5","4","5","7","1","2","3","2","0","2","4","2","5","2","5","4","12","4","4","4","6","3","0","0","3","3","1","1","2","0","1","4","0","1","0","4","0","0","0","1","0","0"
"(V.2, N.8, P.2, 2019)","0","0","0","0","0","0","17","20","17","6","10","28","8","25","10","5","2","8","3","8","4","2","1","0","5","5","1","10","3","2","19","2","1","1","3","1","1","1","1","3","5","2","3","0","1","1","0","0","0","1","4","2","4","9","3","4","1","0","1","2","0","0","1","0","2","4","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.8, P.3, 2019)","0","0","0","0","0","0","5","4","9","6","5","20","4","4","4","1","7","1","4","7","3","2","1","3","5","4","4","2","6","1","13","3","4","1","4","1","1","4","0","0","1","5","7","1","2","2","2","0","2","1","1","1","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.8, P.4, 2019)","0","0","0","0","0","0","98","78","81","39","43","63","83","82","70","39","38","24","13","21","6","9","14","9","27","24","15","59","28","12","94","23","18","10","13","19","15","20","32","35","9","14","14","17","26","3","7","2","2","13","12","5","7","16","9","22","17","9","7","13","12","15","16","11","7","12","11","4","9","5","3","3","12","17","10","6","3","4","2","2","0","0"
"(V.2, N.9, P.2, 2019)","0","0","0","0","0","0","0","16","36","21","15","28","16","32","17","14","6","12","15","18","6","20","20","18","19","21","8","14","10","7","1","5","6","1","6","4","11","3","5","1","4","3","5","1","1","1","3","0","0","0","2","4","2","3","2","4","4","6","2","5","0","9","4","1","2","0","3","4","1","2","0","1","0","1","0","2","1","1","1","0","0","0"
"(V.2, N.9, P.5, 2019)","0","0","0","0","0","0","0","60","26","15","23","58","79","20","21","41","27","31","13","18","9","17","14","27","91","25","31","37","17","13","12","16","21","6","8","29","127","27","36","64","32","57","46","55","50","11","14","18","92","38","28","9","18","22","9","6","16","10","2","11","39","24","15","11","9","12","15","18","18","5","4","10","43","14","10","1","7","2","5","0","0","0"
"(V.2, N.10, P.3, 2019)","0","0","0","0","0","0","0","0","29","9","13","30","13","12","11","1","4","2","7","3","3","1","1","0","1","3","0","3","17","0","2","0","0","0","1","1","1","0","2","1","3","2","4","1","1","1","1","0","0","0","0","0","0","1","3","3","4","4","1","0","0","1","0","0","0","0","1","1","0","0","0","0","2","0","1","0","1","1","1","0","0","0"
"(V.2, N.10, P.4, 2019)","0","0","0","0","0","0","0","0","53","25","14","18","11","9","15","2","4","7","7","6","2","1","1","2","9","3","3","2","29","0","1","5","4","1","1","1","2","0","0","11","5","4","8","11","3","7","1","2","0","5","7","1","0","2","8","1","15","0","2","0","1","0","0","0","5","2","1","0","1","0","2","1","4","0","0","3","0","0","0","1","0","0"
"(V.2, N.11, P.1, 2019)","0","0","0","0","0","0","0","0","0","50","39","52","46","34","39","15","16","7","4","2","6","11","6","12","27","43","29","33","10","10","13","14","327","116","6","25","17","9","20","24","5","11","43","106","825","159","25","22","3","6","19","14","18","18","57","53","221","53","12","4","13","14","13","8","9","11","4","6","18","5","6","5","7","4","12","12","2","2","3","3","0","0"
"(V.2, N.12, P.1, 2019)","0","0","0","0","0","0","0","0","0","0","83","105","211","213","239","308","505","375","38","74","65","306","261","208","503","631","351","431","194","86","32","237","221","143","140","123","202","149","168","270","138","132","166","237","181","119","114","184","13","106","133","86","72","76","71","83","56","44","58","55","52","44","66","69","54","55","69","76","60","49","37","27","38","33","26","15","22","24","19","5","0","0"
"(V.2, N.12, P.3, 2019)","0","0","0","0","0","0","0","0","0","0","27","30","25","22","21","9","12","12","6","9","2","3","1","5","4","2","3","42","2","2","0","1","2","4","0","0","3","1","6","1","3","2","16","3","4","5","4","2","0","0","0","1","1","1","1","1","0","2","3","2","2","1","3","1","2","1","3","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.12, P.4, 2019)","0","0","0","0","0","0","0","0","0","0","53","66","28","39","42","79","85","114","45","52","14","29","107","145","182","167","134","157","86","58","283","260","235","211","214","157","220","182","235","199","162","223","413","294","196","113","90","116","65","250","376","183","120","129","255","187","166","59","59","73","85","82","94","46","41","81","103","65","51","31","29","37","25","38","14","23","10","20","25","12","0","0"
"(V.2, N.12, P.6, 2019)","0","0","0","0","0","0","0","0","0","0","42","25","8","3","7","6","4","7","4","5","2","3","0","3","2","3","1","2","2","0","0","0","1","17","3","3","0","4","8","1","1","12","6","5","5","2","8","20","0","9","14","6","14","7","26","15","16","11","7","8","5","6","6","10","10","6","5","6","7","3","9","4","6","6","1","0","4","2","1","1","0","0"
"(V.3, N.1, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","35","8","5","15","4","3","6","4","6","1","0","3","2","1","2","7","5","1","6","2","0","1","1","1","0","2","1","1","3","0","0","2","1","1","0","0","4","0","0","0","1","0","1","1","0","3","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"(V.3, N.1, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","33","22","17","36","48","50","61","9","20","11","20","19","33","64","40","48","32","21","5","11","20","15","9","11","15","25","9","36","48","21","26","24","23","25","5","8","11","4","14","15","16","7","15","14","14","2","2","0","7","16","6","2","6","8","2","2","4","0","0","1","1","4","2","0","0","0","0","0","1","0","0"
"(V.3, N.1, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","55","25","32","30","51","48","117","16","19","18","57","41","62","65","115","72","114","54","24","41","111","148","102","38","95","113","73","85","119","124","135","139","153","225","93","72","93","45","107","179","114","67","112","124","162","210","82","55","72","70","74","73","55","69","200","115","83","46","41","17","33","47","42","56","29","13","31","18","4","0","0"
"(V.3, N.2, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","57","24","24","38","50","47","12","13","15","39","35","107","143","133","71","72","58","24","20","76","35","16","28","64","58","87","165","75","58","94","103","89","100","36","40","106","75","147","152","92","57","104","92","55","38","28","34","193","77","67","68","28","36","63","20","20","15","11","15","61","56","46","47","17","6","10","13","11","0","0"
"(V.3, N.2, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","31","13","20","76","86","71","24","34","36","52","67","39","100","87","54","292","98","27","70","130","183","63","90","102","105","88","102","70","324","3101","821","304","152","86","69","173","249","279","243","100","377","3069","710","293","203","53","45","46","34","39","27","25","84","36","40","53","40","25","34","31","37","36","32","16","18","10","17","11","0","0"
"(V.3, N.3, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","65","65","53","43","37","9","17","1","19","31","25","44","34","28","10","2","2","2","4","2","3","0","2","2","2","0","0","0","3","4","1","4","1","0","3","2","1","2","3","2","0","0","0","1","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.3, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","6","7","8","6","5","9","1","1","0","1","0","2","16","3","3","0","0","0","0","2","1","1","0","0","0","1","0","2","1","1","0","0","0","1","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"(V.3, N.4, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","151","154","102","23","30","9","21","40","36","61","26","16","53","23","24","3","23","9","10","19","4","11","5","9","18","4","9","7","9","17","6","2","8","7","3","2","11","0","3","2","5","1","1","9","4","2","2","0","4","3","2","3","2","5","3","1","3","0","3","1","2","3","2","0","0","0","0"
"(V.3, N.4, P.10, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","341","357","225","37","25","40","254","328","239","756","440","216","382","116","65","91","115","105","122","297","108","60","72","65","129","92","79","74","71","77","60","78","78","43","100","141","71","83","117","151","102","60","56","80","123","119","132","96","78","93","103","89","64","66","79","98","64","59","65","73","38","22","20","5","13","0","0"
"(V.3, N.4, P.12, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","3","3","3","4","2","0","1","0","1","1","0","0","0","0","0","0","0","0","9","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(V.3, N.5, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","1","6","5","3","0","1","0","0","1","1","0","2","0","1","1","0","0","0","25","1","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","2","0","0","1","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"(V.3, N.5, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","4","3","3","2","2","0","0","1","1","0","1","8","0","0","0","0","0","0","9","18","2","0","1","0","0","2","0","0","0","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.5, P.6, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","103","123","18","65","43","209","254","278","542","434","249","498","287","113","241","352","274","156","310","168","182","191","250","217","118","179","183","245","228","138","157","128","52","90","163","184","130","147","217","152","139","90","145","85","108","111","71","55","40","63","29","33","30","24","18","23","4","9","14","19","4","8","7","14","0","0"
"(V.3, N.5, P.8, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","7","5","1","0","2","0","0","0","0","0","2","24","0","0","0","0","0","0","0","0","1","5","0","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.5, P.9, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","7","4","5","3","2","0","0","0","1","0","0","4","0","1","0","1","0","0","0","1","7","10","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"(V.3, N.6, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","9","5","11","4","5","10","9","15","9","9","8","3","1","0","1","1","9","5","2","1","1","0","0","2","3","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.6, P.10, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","18","14","23","12","32","28","39","76","81","53","51","27","21","6","51","53","43","15","42","28","51","40","44","39","38","75","92","106","45","38","35","30","75","123","89","54","68","78","80","52","24","12","24","71","62","35","35","27","31","47","32","33","20","14","14","22","10","22","9","6","9","10","2","0","0"
"(V.3, N.7, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","1","0","1","0","1","3","0","4","11","0","0","0","0","0","0","0","0","0","1","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"(V.3, N.7, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","19","12","6","15","23","22","17","20","8","48","29","9","17","49","29","24","49","11","28","22","19","29","19","19","28","25","47","34","33","25","12","22","11","18","13","11","16","33","31","25","16","21","14","10","16","12","15","11","16","6","10","13","9","2","4","5","7","0","3","2","4","2","0","0"
"(V.3, N.7, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","11","10","2","7","10","21","68","37","16","8","7","5","12","5","11","1","3","12","29","22","3","12","24","19","20","26","15","6","8","45","38","27","27","11","8","10","15","10","16","3","6","31","45","11","30","26","22","36","29","31","26","11","3","31","31","15","22","16","4","2","5","1","0","0"
"(V.3, N.7, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","10","19","5","18","11","15","16","8","8","9","3","7","8","6","10","21","6","7","10","9","12","34","25","17","15","2","15","16","20","17","6","1","15","13","7","10","4","19","19","19","2","4","4","7","10","10","9","4","9","5","9","5","6","5","3","3","5","2","3","5","6","0","0","0"
"(V.3, N.8, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","4","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.8, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","7","12","14","13","29","33","14","21","34","8","9","23","20","12","9","12","20","28","23","18","14","30","19","18","16","19","17","10","16","14","26","13","12","13","20","24","12","7","9","15","16","11","9","11","10","9","14","15","12","15","11","11","10","4","14","13","8","11","5","2","0","0"
"(V.3, N.8, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","16","14","71","66","50","253","170","89","17","6","7","6","4","0","2","1","0","0","0","0","1","0","2","5","4","1","1","0","3","0","0","1","0","2","1","0","0","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
