"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.7, N.3, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","34","14","13","27","23","30","39","52","36","39","50","51","35","6","9","6","8","11","5","0","0"
"(V.7, N.3, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","12","6","12","12","12","23","14","33","8","22","28","36","23","14","27","28","34","23","7","0","0"
"(V.7, N.4, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","10","3","3","6","7","0","0","1","0","3","0","1","3","1","1","0","3","0","0","0"
"(V.7, N.4, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","327","49","27","13","56","96","71","91","33","13","40","34","71","44","29","14","16","12","7","0","0"
"(V.7, N.4, P.5, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","19","7","5","8","19","26","22","28","44","38","34","18","31","41","46","52","38","38","0","0"
"(V.7, N.5, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","2","2","0","1","0","1","0","0","0","2","2","1","0","1","0","0","0","0"
"(V.7, N.6, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","2","1","1","1","0","0","3","1","0","0","0","3","2","0","0","0","0","0"
"(V.7, N.6, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","2","0","1","3","0","0","0","0","0","0","1","2","0","1","0","0","0"
"(V.7, N.6, P.4, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","8","10","17","15","10","10","10","15","26","19","2","9","12","8","6","1","0","0"
"(V.7, N.7, P.3, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","4","7","8","6","1","4","7","22","27","6","5","2","2","1","0","0","0"
"(V.7, N.8, P.1, 2024)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","10","10","20","12","21","12","15","8","5","17","8","12","31","14","0","0"
