post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.1, N.3, P.7, 2018)",82,4,4,3,1,3,4,3,6,12,37,19,7,7,2,2,0,4,5,3,0,2,1,0,6,2,6,0,1,1,0,2,0,4,1,2,5,1,16,3,3,3,3,3,7,3,2,1,1,3,2,3,1,3,2,1,302
"(V.1, N.3, P.8, 2018)",89,28,15,17,11,12,44,39,49,33,37,33,28,12,21,25,16,12,15,19,2,6,5,5,13,7,7,16,5,3,4,11,11,5,9,5,4,10,15,7,8,19,9,8,7,3,5,2,4,0,8,10,5,6,4,6,809
"(V.1, N.3, P.9, 2018)",104,13,46,37,20,137,75,76,46,61,44,70,49,34,44,76,79,53,18,16,15,22,21,16,91,112,100,141,96,62,80,145,138,118,67,76,102,139,265,178,84,193,207,157,157,99,50,76,43,113,121,91,76,145,161,127,4982
"(V.1, N.3, P.10, 2018)",95,6,16,35,55,35,36,41,31,39,106,72,20,25,20,17,17,17,10,15,3,6,16,25,44,57,31,15,8,0,4,0,2,4,1,3,4,3,2,7,2,7,7,9,1,1,2,0,6,4,7,1,3,8,17,11,1029
"(V.1, N.3, P.11, 2018)",134,28,36,56,43,96,95,97,100,68,70,59,70,63,95,69,66,83,13,20,37,77,31,58,78,119,68,72,29,22,6,37,67,41,15,31,146,38,48,86,157,41,29,35,74,23,12,18,35,252,57,23,43,41,59,32,3398
"(V.1, N.4, P.1, 2018)",208,29,21,17,15,17,11,13,26,18,13,27,13,11,17,8,3,2,15,5,3,8,1,1,5,4,5,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,2,1,0,0,1,0,2,1,0,3,4,1,3,542
"(V.1, N.4, P.2, 2018)",63,31,18,13,14,22,31,38,36,27,39,28,15,24,28,33,60,52,12,22,5,16,31,35,58,74,49,62,16,7,9,10,32,12,17,20,31,31,40,36,33,50,28,36,45,32,27,32,16,1,30,39,44,34,63,62,1769
"(V.1, N.4, P.3, 2018)",52,4,7,0,17,6,20,18,11,5,7,16,5,34,0,2,0,4,3,10,2,1,0,10,1,4,3,9,5,2,1,3,2,2,7,2,2,5,1,7,13,3,4,5,2,0,1,7,0,0,0,2,0,1,4,0,332
"(V.1, N.4, P.4, 2018)",233,58,73,95,82,55,55,87,89,50,54,88,74,49,61,37,21,34,20,24,6,7,6,6,7,11,6,12,7,6,4,4,13,10,9,8,5,9,8,11,6,10,9,11,5,2,6,3,2,2,5,2,1,2,6,5,1571
"(V.1, N.4, P.5, 2018)",72,10,11,17,9,5,23,51,59,16,12,86,14,21,17,9,2,11,11,19,3,10,2,2,5,9,1,4,4,5,42,7,6,4,1,1,5,6,7,4,1,8,4,5,3,4,5,6,2,5,5,5,1,6,7,12,682
"(V.1, N.4, P.6, 2018)",126,20,9,12,13,13,15,15,70,14,21,40,11,10,6,11,2,17,5,4,3,5,4,3,12,5,6,2,5,2,0,23,1,2,3,8,6,8,3,6,7,12,12,6,14,3,3,9,4,4,3,4,6,3,2,2,635
"(V.1, N.4, P.7, 2018)",100,39,31,32,23,48,80,127,110,98,89,153,141,127,145,228,324,391,44,62,63,218,177,262,429,318,210,259,177,137,134,162,192,137,132,185,272,235,204,254,187,414,381,310,292,148,117,179,132,261,215,239,161,284,342,231,10442
"(V.1, N.4, P.8, 2018)",63,14,9,6,7,12,21,77,67,67,63,73,54,55,38,33,25,34,10,12,8,1,7,59,37,45,23,20,15,4,2,27,27,49,58,30,32,22,27,16,10,22,14,14,17,17,26,22,8,22,18,6,6,11,9,11,1482
"(V.1, N.5, P.1, 2018)",101,32,25,38,69,39,43,59,44,36,48,51,28,33,28,18,11,11,6,8,5,9,10,7,9,14,4,13,9,3,3,10,6,4,2,12,90,10,9,10,141,12,6,3,4,8,2,4,10,180,4,0,0,0,2,3,1346
